Event Time,Effect Time,Ignition Event Time,NAME,Position,Part Number,Description,Module,Socket,Cue
13:15.8,13:18.9,795.837,Mortar Gold Coconut,50 Rack C,Mortar Gold Coconut,Gold Coconut Shell,4,2,15
13:22.5,13:22.5,802.471,Gold Wave Comet,Comets A,Gold Wave Comet,Gold Comet,0,4,7
13:23.0,13:23.0,803.009,Gold Wave Comet,Comets A,Gold Wave Comet,Gold Comet,0,4,8
13:23.5,13:23.5,803.548,Gold Wave Comet,Comets A,Gold Wave Comet,Gold Comet,0,4,9
13:24.1,13:24.1,804.086,Gold Wave Comet,Comets A,Gold Wave Comet,Gold Comet,0,4,10
13:24.6,13:24.6,804.625,Gold Wave Comet,Comets A,Gold Wave Comet,Gold Comet,0,4,11
13:25.2,13:25.2,805.163,Gold Wave Comet,Comets A,Gold Wave Comet,Gold Comet,0,4,12
13:25.7,13:25.7,805.702,Gold Wave Comet,Comets A,Gold Wave Comet,Gold Comet,0,4,13
13:26.2,13:26.2,806.24,Gold Wave Comet,Comets C,Gold Wave Comet,Gold Comet,2,6,13
13:26.8,13:26.8,806.779,Gold Wave Comet,Comets C,Gold Wave Comet,Gold Comet,2,6,12
13:27.3,13:27.3,807.317,Gold Wave Comet,Comets C,Gold Wave Comet,Gold Comet,2,6,11
13:27.9,13:27.9,807.856,Gold Wave Comet,Comets C,Gold Wave Comet,Gold Comet,2,6,10
13:28.4,13:28.4,808.394,Gold Wave Comet,Comets C,Gold Wave Comet,Gold Comet,2,6,9
13:28.9,13:28.9,808.933,Gold Wave Comet,Comets C,Gold Wave Comet,Gold Comet,2,6,8
13:29.5,13:29.5,809.471,Gold Wave Comet,Comets C,Gold Wave Comet,Gold Comet,2,6,7
13:33.4,13:36.2,813.373,TM490,Board 6,TM490,49 Shot Strobing Red & White & Blue Waterfall Cake Fan,1,2,8
13:50.3,13:53.1,830.332,TM150,Board 6,TM150,42 Shot White Waterfall Z Shape Cake Cake,1,2,6
14:11.7,14:14.7,851.705,Mortar Gold Coconut,32 Rack B,Mortar Gold Coconut,Gold Coconut Shell,4,3,13
14:15.1,14:18.1,855.105,Mortar Gold Coconut,32 Rack B,Mortar Gold Coconut,Gold Coconut Shell,4,3,14
14:18.5,14:21.5,858.505,Mortar Gold Coconut,32 Rack B,Mortar Gold Coconut,Gold Coconut Shell,4,3,15
14:21.9,14:24.9,861.905,Mortar Gold Coconut,32 Rack B,Mortar Gold Coconut,Gold Coconut Shell,4,4,0
