FIRING_HEADER_ROW,Time Cue Number,Ignition Event Time,Number Of Devices,Duration,Coordinates,Chain Identifier,Lockout Identifier,Device Delay,Prefire Delay,Effect Name,Caliber,Category,Angles,Position Name,Animation Description,Module Address,Slat Address,Pin Address,Firing Notes,Product ID,Manufacturer Product ID,Animation ID,Location Primary,Location Secondary,Price Per Device,Mortar Caliber,Track Identifier
FIRING_DATA_ROW,,846.652,1,22.84,27.5 0.0 -7.0,,,0,3.02,48 Shot Glittering Bowtie Peony Cake,"3""",Cakes,1,Board 6,22.84s 48 Shot Glittering Bowtie Peony Cake (8 Rows),1,2,3,,opposing forces,,,,,,,
FIRING_DATA_ROW,,886.035,1,21.75,-35.6 0.0 -7.0,,,0,0,61 Shot Red & Gold Comet w/ Tail Cake Z Shape,"3""",Cakes,,Board 1,21.75s 61 Shot Red & Gold Comet w/ Tail Cake Z Shape (11 Rows),0,1,1,,10048,,,,,,,
FIRING_DATA_ROW,,910.866,1,2,-10.0 0.0 -7.0,,,0,3.02,12 Shot Crackling Gold Peony Cake,"3""",Cakes,,Board 3,2s 12 Shot Crackling Gold Peony Cake (1 Row),0,3,7,,MS498 12s Finale Box Quick Crackle,,,,,,,
FIRING_DATA_ROW,,915.711,1,10.85,40.0 0.0 -7.0,,,0,0,70 Shot Varg Comet Cake Z Shape,"3""",Cakes,1,Board 7,10.85s 70 Shot Variegated Comet Cake Z Shape (10 Rows),1,3,4,,colorful world of comets,,,,,,,
FIRING_DATA_ROW,,924.349,1,10.85,-46.92 0.0 -7.0,,,0,0,70 Shot Varg Comet Cake Z Shape,"3""",Cakes,,Board 0,10.85s 70 Shot Variegated Comet Cake Z Shape (10 Rows),0,0,4,,colorful world of comets,,,,,,,
FIRING_DATA_ROW,,939.527,1,21.75,27.5 0.0 -7.0,,,0,0,61 Shot Red & Gold Comet w/ Tail Cake Z Shape,"3""",Cakes,1,Board 6,21.75s 61 Shot Red & Gold Comet w/ Tail Cake Z Shape (11 Rows),1,2,4,,10048,,,,,,,
FIRING_DATA_ROW,,964.503,1,19.9,-10.0 0.0 -7.0,,,0,0,230 Shot Varg Comet Cake Z Shape,"3""",Cakes,,Board 3,19.9s 230 Shot Variegated Comet Cake Z Shape (17 Rows),0,3,0,,Color of USA,,,,,,,
FIRING_DATA_ROW,,988.474,1,17.15,2.5 0.0 -7.0,,,0,0,149 Shot Varg Comet w/ Tail Cake Z Shape,"3""",Cakes,1,Board 4,17.15s 149 Shot Variegated Comet w/ Tail Cake Z Shape (15 Rows),1,0,4,,10026 Golden Peacock,,,,,,,
FIRING_DATA_ROW,,1022.841,1,23,27.5 0.0 -7.0,,,0,2.45,20 Shot Gold Horsetail Cake Fan,"3""",Cakes,1,Board 6,23s 20 Shot Gold Horsetail Cake Z Shape (5 Rows),1,2,0,,421 20s Waterfall/Horsetail,,,,,,,
FIRING_DATA_ROW,,1023.889,1,23,-35.6 0.0 -7.0,,,0,2.45,20 Shot Gold Horsetail Cake Fan,"3""",Cakes,,Board 1,23s 20 Shot Gold Horsetail Cake Z Shape (5 Rows),0,1,3,,421 20s Waterfall/Horsetail,,,,,,,
FIRING_DATA_ROW,,1049.278,1,26,2.5 0.0 -7.0,,,0,3.02,27 Shot Red White Blue Peony Cake W Shape,"3""",Cakes,1,Board 4,26s 27 Shot Red White Blue Peony Cake W Shape (5 Rows),1,0,5,,GM436 27shot RWB Peony,,,,,,,
FIRING_DATA_ROW,,1075.194,1,24.2,15.0 0.0 -7.0,,,0,3.02,9 Shot Red Crackling Peony Cake,"3""",Cakes,1,Board 5,24.2s 9 Shot Red Crackling Peony Cake (1 Row),1,1,1,,Premium Color Red,,,,,,,
FIRING_DATA_ROW,,1100.098,1,23.89,2.5 0.0 -7.0,,,0,0,130 Shot Z Shape Gold Glittering Comet w/ Tail Cake,"3""",Cakes,1,Board 4,23.89s 130 Shot Z Shape Gold Glittering Comet w/ Tail Cake (13 Rows),1,0,7,,629 130 shot Z Gold Glitter Comets,,,,,,,
