Description,Receiver,Socket,Cue,Time (s)
Gold Comet w/ Blue Mine,1,3,6,1074.444
Gold Comet w/ Blue Mine,3,3,13,1074.444
Gold Comet w/ Blue Mine,1,3,7,1074.577
Gold Comet w/ Blue Mine,3,3,14,1074.577
Gold Comet w/ Blue Mine,1,3,8,1074.71
Gold Comet w/ Blue Mine,3,3,15,1074.71
Gold Comet w/ Blue Mine,1,3,9,1074.844
Gold Comet w/ Blue Mine,3,4,0,1074.844
Gold Comet w/ Blue Mine,1,3,10,1074.977
Gold Comet w/ Blue Mine,3,4,1,1074.977
Green Flame,1,0,13,1112.694
Green Flame,3,2,13,1112.694
20' Crackling Gold Fountain,1,0,15,1114.828
Varg Flame,2,0,13,1114.828
Varg Flame,2,2,13,1114.828
20' Crackling Gold Fountain,3,2,15,1114.828
Green Flame,0,2,14,1116.745
Green Flame,4,0,13,1116.745
Green Flame,0,0,10,1119.076
Green Flame,4,2,10,1119.076
Green Flame,0,0,11,1121.466
Green Flame,4,2,11,1121.466
20' Crackling Gold Fountain,0,1,12,1123.429
Varg Flame,2,1,11,1123.429
20' Crackling Gold Fountain,4,1,12,1123.429
Green Flame,1,0,14,1125.625
Green Flame,3,2,14,1125.625
Gold Comet w/ Purple Mine,0,4,2,1129.998
Gold Comet w/ Purple Mine,4,3,4,1129.998
Gold Comet w/ Purple Mine,0,4,3,1131.792
Gold Comet w/ Purple Mine,4,3,5,1131.792
Gold Comet w/ Purple Mine,0,4,4,1132.328
Gold Comet w/ Purple Mine,4,3,6,1132.328
Gold Comet w/ Purple Mine,0,4,5,1132.584
Gold Comet w/ Purple Mine,4,3,7,1132.584
Gold Comet w/ Purple Mine,0,4,6,1133.67
Gold Comet w/ Purple Mine,4,3,8,1133.67
Gold Comet w/ Purple Mine,0,4,7,1134.246
Gold Comet w/ Purple Mine,4,3,9,1134.246
Gold Comet w/ Purple Mine,0,4,8,1134.487
Gold Comet w/ Purple Mine,4,3,10,1134.487
Bushy Gold Comet w/ Tail + Red Mine,0,4,9,1135.926
Bushy Gold Comet w/ Tail + Red Mine,4,4,2,1135.926
Bushy Gold Comet w/ Tail + Red Mine,0,4,10,1136.523
Bushy Gold Comet w/ Tail + Red Mine,4,4,3,1136.523
Bushy Gold Comet w/ Tail + Red Mine,0,4,11,1136.911
Bushy Gold Comet w/ Tail + Red Mine,4,4,4,1136.911
Bushy Gold Comet w/ Tail + Red Mine,0,4,12,1137.297
Bushy Gold Comet w/ Tail + Red Mine,4,4,5,1137.297
Bushy Gold Comet w/ Tail + Red Mine,0,4,13,1137.559
Bushy Gold Comet w/ Tail + Red Mine,4,4,6,1137.559
Bushy Gold Comet w/ Tail + Red Mine,0,4,14,1138.132
Bushy Gold Comet w/ Tail + Red Mine,4,4,7,1138.132
Bushy Gold Comet w/ Tail + Red Mine,0,4,15,1138.664
Bushy Gold Comet w/ Tail + Red Mine,4,4,8,1138.664
Blue Comet,1,4,2,1140.925
Blue Comet,3,3,4,1140.925
Blue Comet,1,4,3,1141.05
Blue Comet,3,3,5,1141.05
Blue Comet,1,4,4,1141.175
Blue Comet,3,3,6,1141.175
Blue Comet,1,4,5,1141.3
Blue Comet,3,3,7,1141.3
Blue Comet,1,4,6,1141.425
Blue Comet,3,3,8,1141.425
Blue Comet,1,4,7,1141.55
Blue Comet,3,3,9,1141.55
Blue Comet,1,4,8,1141.675
Blue Comet,3,3,10,1141.675
130 Shot Z Shape Gold Glittering Comet w/ Tail Cake,0,0,6,1146.937
130 Shot Z Shape Gold Glittering Comet w/ Tail Cake,4,2,0,1146.937
25 Shot Red Glittering Peony Cake,3,1,4,1170.732
30 Shot Varg Ear Cake,1,2,3,1194.629
30 Shot Varg Ear Cake,3,0,2,1197.976
25 Shot Z Shape Silver Strobing Waterfall Cake,1,0,8,1215.329
25 Shot Z Shape Silver Strobing Waterfall Cake,3,2,7,1215.329
54 Shot Strobing Varg Peony Cake Z Shape,0,0,4,1250.82
54 Shot Strobing Varg Peony Cake Z Shape,4,2,5,1270.927
25 Shot Falling Leaves Cake,2,0,6,1331.824
25 Shot Falling Leaves Cake,2,2,5,1331.824
10 Shot Popcorn Crackle Chrys Cake,1,0,2,1352.995
10 Shot Popcorn Crackle Chrys Cake,3,2,9,1352.995
25 Shot Falling Leaves Cake,2,0,7,1362.055
25 Shot Falling Leaves Cake,2,2,9,1362.055
Silver Comet,1,4,9,1380.311
Silver Comet,1,4,10,1380.311
Silver Comet,1,4,11,1380.311
Silver Comet,1,4,12,1380.311
Silver Comet,1,4,13,1380.311
Silver Comet,1,4,14,1380.311
Silver Comet,1,4,15,1380.311
Silver Comet,3,4,9,1387.793
Silver Comet,3,4,10,1387.793
Silver Comet,3,4,11,1387.793
Silver Comet,3,4,12,1387.793
Silver Comet,3,4,13,1387.793
Silver Comet,3,4,14,1387.793
Silver Comet,3,4,15,1387.793
36 Shot Purple Peony Cake,1,1,6,1391.539
36 Shot Purple Peony Cake,3,1,14,1391.539
Silver Comet,2,4,9,1395.052
Silver Comet,2,4,10,1395.052
Silver Comet,2,4,11,1395.052
Silver Comet,2,4,12,1395.052
Silver Comet,2,4,13,1395.052
Silver Comet,2,4,14,1395.052
Silver Comet,2,4,15,1395.052
49 Shot Gold Mine Cake Fan,0,2,12,1396.559
49 Shot Gold Mine Cake Fan,4,0,9,1396.559
36 Shot Blue Peony Cake,1,0,5,1406.824
36 Shot Blue Peony Cake,3,2,10,1406.824
36 Shot Blue Peony Cake,3,0,11,1418.51
36 Shot Blue Peony Cake,1,2,11,1419.344
12 Shot Silver Whirl Cake,1,1,1,1420.438
12 Shot Silver Whirl Cake,3,1,7,1420.438
150 Shot Silver Whirls Cake,3,1,8,1427.332
150 Shot Silver Whirls Cake,1,1,12,1427.832
150 Shot Silver Whirls Cake,4,1,2,1428.332
150 Shot Silver Whirls Cake,0,1,6,1428.832
,2,2,0,1431.064
,0,0,9,1437.286
,4,2,1,1437.286
12 Shot Silver Whirl Cake,0,2,5,1444.508
12 Shot Silver Whirl Cake,1,2,6,1444.508
12 Shot Silver Whirl Cake,3,0,3,1444.508
12 Shot Silver Whirl Cake,4,0,6,1444.508
149 Shot Varg Comet w/ Tail Cake Z Shape,2,1,6,1449.77
36 Shot Purple Peony Cake,1,0,3,1466.254
36 Shot Purple Peony Cake,3,2,6,1466.254
,2,2,6,1472.992
49 Shot Gold Mine Cake Fan,2,1,9,1489.375
12 Shot Silver Whirl Cake,0,1,4,1500.389
12 Shot Silver Whirl Cake,4,1,0,1500.389
Palm w/ Green Pistil,0,5,8,1504.295
Silver Mine,3,5,0,1504.384
Silver Mine,3,5,1,1504.384
Palm w/ Green Pistil,4,5,8,1504.701
Silver Mine,1,5,0,1504.876
Silver Mine,1,5,1,1504.876
Silver Mine,3,5,2,1505.836
Silver Mine,3,5,3,1505.836
Silver Mine,1,5,2,1506.227
Silver Mine,1,5,3,1506.227
Palm w/ Green Pistil,0,5,9,1507.537
Palm w/ Green Pistil,4,5,9,1507.779
Palm w/ Green Pistil,4,5,10,1508.936
Palm w/ Green Pistil,0,5,10,1509.27
Palm w/ Green Pistil,0,5,11,1510.514
Palm w/ Green Pistil,4,5,11,1510.971
Palm w/ Green Pistil,0,5,12,1513.758
Palm w/ Green Pistil,4,5,12,1514.091
Silver Mine,3,5,4,1518.321
Silver Mine,3,5,5,1518.321
Silver Mine,1,5,4,1518.669
Silver Mine,1,5,5,1518.669
Palm w/ Green Pistil,0,5,13,1519.902
Silver Mine,3,5,6,1519.928
Silver Mine,3,5,7,1519.928
Palm w/ Green Pistil,4,5,13,1520.141
Silver Mine,1,5,6,1520.259
Silver Mine,1,5,7,1520.259
Palm w/ Green Pistil,0,5,14,1521.474
Palm w/ Green Pistil,4,5,14,1521.721
Palm w/ Green Pistil,0,5,15,1523.163
Palm w/ Green Pistil,4,5,15,1523.447
36 Shot Gold Strobing Peony Cake,0,0,8,1526.471
36 Shot Gold Strobing Peony Cake,4,2,6,1526.471
,2,0,1,1529.33
48 Shot Glittering Bowtie Peony Cake,0,2,0,1541.537
48 Shot Glittering Bowtie Peony Cake,4,0,12,1541.537
49 Shot Gold Mine Cake Fan,2,1,1,1545.373
25 Shot Silver Spinners Cake Z Shape,1,1,13,1553.617
25 Shot Silver Spinners Cake Z Shape,3,1,1,1560.853
150 Shot Silver Whirls Cake,0,1,2,1572.559
150 Shot Silver Whirls Cake,4,1,7,1572.559
150 Shot Silver Whirls Cake,1,0,7,1574.715
150 Shot Silver Whirls Cake,3,2,3,1574.715
150 Shot Silver Whirls Cake,0,2,2,1575.966
150 Shot Silver Whirls Cake,4,0,3,1575.966
Palm w/ Green Pistil,0,6,0,1576.618
Palm w/ Green Pistil,0,6,1,1577.051
Palm w/ Green Pistil,0,6,2,1577.485
Palm w/ Green Pistil,0,6,3,1577.918
Palm w/ Green Pistil,0,6,4,1578.351
Palm w/ Green Pistil,0,6,5,1578.785
Palm w/ Green Pistil,0,6,6,1579.218
Palm w/ Green Pistil,0,6,7,1579.651
Palm w/ Green Pistil,4,6,0,1580.085
Palm w/ Green Pistil,4,6,1,1580.518
Palm w/ Green Pistil,4,6,2,1580.951
Palm w/ Green Pistil,4,6,3,1581.385
Palm w/ Green Pistil,4,6,4,1581.818
Palm w/ Green Pistil,4,6,5,1582.251
Palm w/ Green Pistil,4,6,6,1582.685
Palm w/ Green Pistil,4,6,7,1583.118
36 Shot Blue Peony Cake,0,2,10,1585.816
