FIRING_HEADER_ROW,Ignition Event Time,Number Of Devices,Duration,Device Delay,Prefire Delay,Effect Name,Caliber,Position Name,Animation Description,Angles,Module Address,Slat Address,Pin Address,Product ID,Manufacturer Product ID,Animation ID,Location Primary,Location Secondary,Price Per Device,Mortar Caliber,Track Identifier
FIRING_DATA_ROW,2165.259,1,1.16,0,0,Blue Dahlia Mine w/ White Strobing,"3""",Board 4,Blue Dahlia Mine w/ White Strobing,1,1,2,8,blue dahlia mine w/ strobe,,,,,,,
FIRING_DATA_ROW,2165.259,1,1.16,0,0,Blue Dahlia Mine w/ White Strobing,"3""",Board 5,Blue Dahlia Mine w/ White Strobing,1,1,3,1,blue dahlia mine w/ strobe,,,,,,,
FIRING_DATA_ROW,2165.259,1,1.16,0,0,Blue Dahlia Mine w/ White Strobing,"3""",Board 6,Blue Dahlia Mine w/ White Strobing,2,2,0,4,blue dahlia mine w/ strobe,,,,,,,
FIRING_DATA_ROW,2165.259,1,1.16,0,0,Blue Dahlia Mine w/ White Strobing,"3""",Board 7,Blue Dahlia Mine w/ White Strobing,2,2,1,11,blue dahlia mine w/ strobe,,,,,,,
FIRING_DATA_ROW,2165.259,1,1.16,0,0,Blue Dahlia Mine w/ White Strobing,"3""",Board 2,Blue Dahlia Mine w/ White Strobing,1,1,0,4,blue dahlia mine w/ strobe,,,,,,,
FIRING_DATA_ROW,2165.259,1,1.16,0,0,Blue Dahlia Mine w/ White Strobing,"3""",Board 4,Blue Dahlia Mine w/ White Strobing,1,1,2,9,blue dahlia mine w/ strobe,,,,,,,
FIRING_DATA_ROW,2165.259,1,1.16,0,0,Blue Dahlia Mine w/ White Strobing,"3""",Board 7,Blue Dahlia Mine w/ White Strobing,2,2,1,12,blue dahlia mine w/ strobe,,,,,,,
FIRING_DATA_ROW,2166.424,1,9.7,0,0,49 Shot Gold Mine Cake Fan,"3""",Board 7,9.7s 49 Shot Gold Strobing Mine Cake Z Shape (7 Rows),2,2,1,2,GM524B,,,,,,,
FIRING_DATA_ROW,2166.424,1,9.7,0,0,49 Shot Gold Mine Cake Fan,"3""",Board 0,9.7s 49 Shot Gold Strobing Mine Cake Z Shape (7 Rows),,0,0,2,GM524B,,,,,,,
FIRING_DATA_ROW,2180.545,1,1.84,0,3.02,Palm w/ Green Pistil,"3""",32 rack A,Palm w/ Green Pistil,2,2,4,0,Mortar green palm,,,,,,,
FIRING_DATA_ROW,2181.061,1,1.84,0,3.02,Palm w/ Green Pistil,"3""",32 rack A,Palm w/ Green Pistil,2,2,4,1,Mortar green palm,,,,,,,
FIRING_DATA_ROW,2181.577,1,1.84,0,3.02,Palm w/ Green Pistil,"3""",32 rack A,Palm w/ Green Pistil,2,2,4,2,Mortar green palm,,,,,,,
